n1,n2,intensity,distance,R1+R2,projection_volume
126,830,6450.2333979999985,1.035615759,0.7595674037139701,0.09725322285
194,525,6428.083008,1.340373082,1.1840497447936675,0.04366098695
797,63,6374.381525,2.061552813,1.0695903340124264,0.0174930532875
693,272,6343.896973,2.707655813,0.8603055705649025,0.1260450814
286,347,6330.438493,6.116404172,0.5475823267832598,0.02644916028125
470,364,6276.371182,1.076150547,0.7005500272905043,0.0130640514703125
830,38,6221.678781000001,3.1963260160000004,0.8035822330410752,0.03622199315
194,946,6176.701745,1.305756486,1.343439701793195,0.1454300106
491,797,6163.989258,2.015241921,1.2600844221050087,0.2362642751
525,491,6138.99886,0.413400532,0.8986306707095126,0.0174176903221695
614,194,6123.714355,0.76065761,1.2907345116165665,0.4139864862
226,523,6120.566151,0.221359436,1.0201963570598125,0.082910254
1004,614,6109.053223,1.90010526,0.8601436927447392,0.2014686744
797,194,6107.832738,1.336600165,1.5455034961891636,0.1342382391
693,390,6078.946777,2.119457478,0.7317424422371029,0.022591473275000003
210,1004,5903.52103,0.5700877129999999,0.6245219853998548,0.0035713465484375
830,491,5901.88898,1.22,0.953138991823156,0.0321984394976562
491,364,5885.4541020000015,1.259880947,0.8463457952151,0.04745400345
210,194,5880.169014,1.210784869,1.0551128042716822,0.04157265595
1,1004,5812.5625,0.05,0.6558889834415522,0.0038363253605468704
470,797,5798.949436,0.921954446,1.1142886541804131,0.13535580016875
223,614,5766.096191,1.444783721,0.9088248292424792,0.1109729068
1,210,5752.377094,0.531507291,0.5600209015740647,0.0035951416375
946,1,5721.54268,1.336600165,0.8483477990955774,0.03782260755
210,1,5688.387221,0.531507291,0.5600209015740647,0.00381645339140625
525,210,5678.026367,0.933488082,0.6575908440543526,0.00277496646875
194,88,5671.757377,1.1071133640000002,1.3443135895866778,0.128932106275
88,272,5652.778813,1.561601742,0.905716206025842,0.07646575929999999
194,210,5628.800293,1.210784869,1.0551128042716822,0.0233279004
614,390,5619.554688,0.326190129,0.7235739997279313,0.01126795333125
614,523,5610.1259770000015,1.184989451,1.0103478907492611,0.3135648278
515,693,5591.950266,1.897208476,0.966950160290798,0.055247937325
63,88,5546.298475,0.366878727,0.8684004274099406,0.0422708006
830,223,5521.078125,0.7443789359999999,0.8566483835332235,0.049140219625
523,390,5494.19489,1.053850084,0.7340245722550565,0.01493568908125
946,364,5466.201199,1.162239218,0.8936328660814526,0.02477610275
194,491,5425.663006000002,1.6541160780000002,1.2961526309268423,0.0412924727632812
946,614,5369.523438,2.01841522,1.0526025083987642,0.10431741075
1004,693,5331.557617,1.712337584,0.8683121352539107,0.0763632023
210,525,5307.906967,0.933488082,0.6575908440543526,0.008143577815625
525,946,5298.104492,0.623698645,0.9459177415758652,0.054591622750000006
210,126,5260.487305,0.943716059,0.5761221420783416,0.00157370432734375
194,390,5144.380859000001,1.081203034,1.0144111931223618,0.0094477249125
614,272,5141.0151369999985,1.944659353,0.8521371280557308,0.07545074635
223,693,5138.933594,0.870114935,0.9169932717516508,0.0836678822
1004,491,5104.318054,0.660681466,0.8655618120550148,0.0337407819875
1,525,5091.234375,0.8257723659999999,0.68895784209605,0.0042453455296875
1,491,5065.4752549999985,0.693541635,0.8010607282292248,0.00489513834824219
364,210,5034.85947,0.5132250970000001,0.6053059685599399,0.005624037302734371
72,523,5013.582031,4.778085391,0.7981152927565454,0.020636381390625
515,226,4983.2348630000015,0.739256383,0.9686301840921776,0.069025201175
63,194,4955.388885,0.8509406559999999,1.1056585428342602,0.072306159253125
1004,525,4954.202352,0.798373346,0.7534589259218402,0.050905616125
38,347,4913.93457,6.182394358,0.6525949440701024,0.0133355980625
210,491,4890.004008,0.908019824,0.7696937301875273,0.00856371424726562
194,614,4879.797366,0.76065761,1.2907345116165665,0.06096543005
194,693,4865.494140999999,1.972485741,1.2989029541257382,0.09392930631875
63,347,4860.958169,5.118486104,0.6116576147596011,0.0035039337265625
88,1004,4815.866699,2.113504199,0.9137227707148504,0.1285248783
491,1,4735.570527000002,0.693541635,0.8010607282292248,0.0444560879
515,272,4712.333984000001,0.965194281,0.8110215276152213,0.05394120655
515,38,4691.248535,3.206883222,0.8146430783098213,0.045043887000000005
614,38,4641.884765999999,2.291593332,0.8557586787503308,0.10980036375
523,194,4554.753937,1.753282636,1.3011850841436918,0.4901593284
515,72,4548.003493,4.394246238,0.7465491197889105,0.0524152479375
194,38,4516.5493259999985,2.519444383,1.1465958721447616,0.0228530456875
525,1004,4508.748047,0.798373346,0.7534589259218402,0.007351955253124999
946,210,4506.198245000001,1.205404496,0.8169808010538799,0.00621336568125
223,830,4488.279993,0.7443789359999999,0.8566483835332235,0.08491517230000001
614,72,4471.866211,3.814039853,0.7876647202294202,0.0608566819
515,797,4458.120117,2.77459907,1.2135507023542234,0.02929072111875
390,223,4368.144043,1.518222645,0.6325015107482744,0.00420774273828125
614,286,4310.769531,1.063672882,0.7507460614634882,0.0217012425
223,1004,4267.43457,1.124722188,0.7690712037650822,0.034213102175
223,946,4250.993652,1.751856158,0.9615300194191074,0.0688741893
523,347,4249.4204420000015,6.205449217999999,0.8071841560690327,0.0221253785375
38,88,4069.628906,3.205635662,0.909337756720442,0.054663825475
194,1,4051.744159,1.438923209,1.0864798023133797,0.019674486584375
515,946,4032.420654,2.379768896,1.011486907958255,0.10884327615
946,470,3991.85083,1.785637141,0.9122248597844442,0.0068438880343750005
38,63,3984.435791,3.173594177,0.6706827099680244,0.0253416289
194,830,3861.815442,0.760065787,1.238558065907311,0.049869236725
614,347,3806.131104,5.628978592999999,0.7967335835419076,0.0564176169375
693,226,3802.115479,2.581879161,1.0179142270418589,0.22191690605
491,72,3684.701172,1.7908098730000002,0.7930828395396958,0.05550103825
126,515,3672.220947,2.506970283,0.7706282489827162,0.1790063198
830,126,3657.611572,1.035615759,0.7595674037139701,0.0210440514375
390,614,3651.734375,0.326190129,0.7235739997279313,0.0174713333018161
491,830,3600.882324,1.22,0.953138991823156,0.0867115564
515,63,3529.825684000001,0.965194281,0.7737057489993199,0.02570769075
515,525,3505.271484000001,2.374384131,0.8520969509587273,0.03835682515
523,72,3496.00708,4.778085391,0.7981152927565454,0.050696723
614,946,3453.46167,2.01841522,1.0526025083987642,0.2312442447
364,525,3447.509132,1.133225485,0.7342429090819254,0.0106084137140625
491,523,3411.112061,3.138678066,1.015766010059537,0.27633188870000003
38,515,3398.522574,3.206883222,0.8146430783098213,0.03461948704375
126,347,3394.470459000001,5.275281983,0.6085801147429974,0.0460217947
523,38,3391.860352,2.866217019,0.866209251277456,0.037198030275
88,72,3390.412354,3.786607981,0.8412437981995313,0.0633656625875
830,614,3388.499268,1.117720895,0.9477208725128804,0.07152712525
194,1004,3379.164379,1.45361618,1.1509808861391695,0.02259705315
1004,515,3368.26709,2.608236952,0.8190280923042295,0.2408249354
491,390,3349.092285,2.47396443,0.728992119038207,0.010973832362500002
693,364,3290.9951170000004,2.308441032,0.8490961184139959,0.0751533727
946,63,3281.812044,1.426359001,0.8675265396164579,0.027190387875
515,830,3255.52124,1.552546296,0.9066052720723708,0.08563951480000001
830,347,3253.41823,5.083512565,0.7445571378326519,0.02032966145
226,390,3252.486816,1.182032148,0.7334224660384825,0.0046220358625
38,797,3241.838408,2.440266379,1.1105276633229275,0.0348603829875
226,88,3237.631348,1.244387399,1.0633248625027982,0.0441186594871094
614,63,3222.268799,1.008414597,0.8148213494398295,0.043059045225
830,525,3214.601807,0.905151921,0.8410361056899813,0.042264365675
88,946,3213.584473,1.7621861419999998,1.1061815863688755,0.4238739316
515,390,3210.468605,1.158835623,0.6824583992874217,0.0064151247125
946,226,3206.656006,2.895513771,1.0624509747093156,0.1036597695
515,364,3194.093506,2.417126393,0.7998120754643147,0.011339862975000002
491,226,3189.105957,3.290121578,1.015163903842963,0.2867037481
226,194,3168.44043,1.849810801,1.300582977927118,0.216387088225
491,63,3142.781006,1.808867049,0.8202394687501052,0.0391927039
946,126,3133.384033,1.48,0.8644490395998542,0.021845629575
946,523,3133.092285,2.789587783,1.0630530809258896,0.0958171823
491,88,3124.238281,2.168363438,1.058894515502523,0.2014391176
523,614,3096.594238,1.184989451,1.0103478907492611,0.140428429925
88,364,3082.311035,1.92418814,0.8945067538749354,0.0321719183625
126,72,3071.378418,2.436411295,0.5995112514305101,0.033679917250000004
515,491,3047.705828,2.739123948,0.964199837091902,0.0172093971205078
