n1,n2,intensity,distance,R1+R2
723,151,12839.01847,1915.5416989999999,1.4044919041884638
946,685,12825.82129,636.6317617000001,1.157427594107565
723,507,12818.60082,1955.3516309999998,2.4448267546406868
677,378,12806.61794,1799.6388530000002,2.116649120891341
409,385,12777.63709,110.0,1.8547254021456046
677,672,12735.4541,508.5272853999999,2.6633994365301974
895,1018,12699.4368,574.1080038,1.49988525165208
385,184,12682.201640000001,7356.317013,1.8053598915874987
926,726,12681.143590000001,2599.172945,2.2264432497432667
723,184,12680.17452,2204.744883,1.4812666189446997
723,104,12674.18011,1028.153685,1.828454105784874
502,463,12673.65039,2002.148846,1.938396338058022
918,312782628,12617.25308,2522.875344,1.8245164992932172
723,961,12607.11238,4025.3695479999997,2.269600048530389
677,1057,12486.02476,792.0227269,1.5753759271509113
385,402,12484.259829999999,1311.106403,1.7561150068142224
985,894,12478.11246,3895.766933,2.2196381861275363
993,39,12459.73449,3684.06026,2.3699640596599085
403,319,12415.759890000001,1431.5725619999998,1.4930013743989137
319,647,12412.39173,756.3729239,1.5494495828604418
926,502,12382.39453,3166.322788,1.8578123293894846
385,312782574,12373.322040000001,188.4144368,1.6807158169929777
491,525,12300.37793,647.9197481000001,0.8986306707095126
463,726,12299.53052,1403.1749710000001,2.307027258411804
589,814,12266.65928,578.7918451,1.1941793083508774
1084,726,12264.61333,637.0243323,1.7677020612861396
181,366,12185.66309,1228.128658,0.8849496328011487
312782628,312782574,12168.61038,286.00699289999994,1.1639595411264234
647,319,12125.70213,756.3729239,1.5494495828604418
926,484682470,12119.282229999999,3411.8323520000004,1.7399643288649473
797,560581563,12109.553740000001,300.9983389,1.102119852961314
39,48,12089.452440000001,1089.724736,1.7391437088121
329,378,12086.64342,973.1392501,2.4366343401352646
385,312782628,12025.278040000001,325.72994950000003,1.8648270817912291
961,295,11962.6034,999.699955,2.171271771199451
429,395,11931.419440000001,736.1385739,1.5234489154858457
178,560581563,11927.08031,1065.316854,0.8062116423336934
385,894,11880.50714,3264.9961719999997,2.016175953283213
178,797,11812.30469,1163.228267,1.213527076739709
961,952,11783.24609,751.3986957999999,2.1599022737969458
985,361,11760.46268,3357.88624,2.088354467941634
993,184,11706.77259,1144.1590800000001,2.077112039929486
88,523,11694.375,1179.0250210000002,1.0639269687193722
44,814,11659.59421,661.0597552,1.0790273104176986
385,502,11632.5752,1708.859269,1.9856505254694636
