real,opt
1.884080191,2.11261565
1.575650209,1.073182502
2.991866627,1.531718209
3.787648485,2.142953589
4.10018573,2.104625389
3.298080036,1.463778455
3.586002392,1.834847831
1.283634519,1.475208915
3.154523398,1.299671937
2.360162672,1.712398667
1.059050215,1.058020628
3.249212683,1.882571101
4.1792346,2.298754947
1.155088005,1.677474739
2.252165723,1.052602509
2.679459195,1.060770951
1.51624722,1.307371493
1.718626609,1.000426063
1.868431033,0.655888984
3.342800978,2.009711394
1.966576953,1.47354419
1.756929759,1.505889839
3.365028584,2.276271653
1.760080018,0.671990224
2.452963458,2.081253872
0.628579079,1.105396685
2.355128954,0.857336871
3.536867227,1.351667357
4.05500877,2.254497597
2.851911084,1.333694608
4.506265467,1.99298742
0.773595493,1.672495772
2.640546448,1.048730599
2.068752214,2.223951763
0.901132589,0.865561812
3.259791026,1.606611238
3.971023775,2.013075258
1.585945853,1.301988345
1.85162181,1.078341169
2.522862539,1.484669859
1.622487381,2.12503875
1.105766178,2.014416377
0.994791602,1.207327861
