TRUE,opt
2.440266379,1.45525381
2.061552813,1.069590334
2.653262143,1.933454778
2.315037797,2.348374659
2.292880285,1.804798326
1.336600165,1.545503496
1.425938288,1.548504218
2.531659535,2.510783442
2.932388105,2.741390938
3.563425318,1.974791137
2.824623869,2.480033606
4.00615776,2.592780069
0.968968524,1.437549141
2.255504378,2.017184392
0.921954446,1.114288654
2.015241921,1.391687243
2.77459907,2.602165841
2.903532331,2.541307621
1.841982628,1.919641399
1.951127879,2.309315417
3.097708831,1.834972709
1.089311709,1.904734744
3.196326016,0.803582234
0.695413546,0.762644903
2.933359848,1.440588299
1.035084538,1.558599907
1.035615759,1.426954625
0.760065787,2.147165435
1.163658025,1.262586365
0.744378936,2.01716934
2.081850139,2.460619567
2.514040572,1.691260267
1.23616342,1.688314751
5.083512565,1.613952732
1.155378726,1.289486601
1.335702063,1.536208885
1.573403953,1.236178171
1.22,1.638606046
1.552546296,1.917723527
1.922732431,2.18077504
0.905151921,1.860158973
1.117720895,1.636864668
1.238951169,0.955889315
1.894412838,1.202489857
1.336600165,1.397409275
3.633978536,1.428299529
1.426359001,0.86752654
2.068453529,1.525342948
1.762186142,2.045038592
1.48,0.86444904
1.305756486,2.11261565
1.205404496,1.073182502
1.751856158,1.531718209
2.895513771,2.142953589
3.3080659,2.104625389
2.314519389,1.463778455
3.957650818,1.834847831
1.162239218,1.475208915
2.315599274,1.299671937
1.785637141,1.712398667
0.929139387,1.058020628
2.379768896,1.882571101
2.789587783,2.298754947
0.623698645,1.677474739
2.01841522,1.052602509
1.951127879,1.060770951
1.525417976,1.307371493
1.157108465,1.000426063
0.05,0.655888984
3.487262537,2.009711394
1.767172883,1.47354419
2.209637979,1.505889839
2.113504199,2.276271653
0.394461658,0.671990224
1.45361618,2.081253872
0.570087713,1.105396685
1.124722188,0.857336871
3.077206525,1.351667357
3.556135543,2.254497597
2.149278949,1.333694608
5.023445033,1.99298742
1.028785692,1.672495772
2.097617696,1.048730599
2.004220547,2.223951763
0.660681466,0.865561812
2.608236952,1.606611238
2.917293266,2.013075258
0.798373346,1.301988345
1.90010526,1.078341169
0.856169292,1.484669859
1.964510117,2.12503875
1.07893466,2.014416377
1.32438665,1.207327861
