origin_abbrev,origin_id,target_abbrev,target_id,projection_volume
ZI,797,fiber tracts,1009,0.058639760199999995
AVPV,272,grey,8,0.0582812331831288
AVPV,272,HY,1097,0.0582461963152344
AVPV,272,BS,343,0.0582461915054432
AVPV,272,IB,1129,0.0582461915054432
LHA,194,MBO,331,0.0579650263107895
VMH,693,RCH,173,0.05663699545
PMv,1004,PVR,141,0.05634322575
DMH,830,PR,1077,0.055729390499999996
DMH,830,RE,181,0.0554600150624023
LHA,194,PSTN,364,0.055081688899999995
DMH,830,SMT,366,0.053369673
AHN,88,ZI,797,0.052101832300000005
PMv,1004,PVp,126,0.051583725899999995
PMv,1004,PVZ,157,0.0513209252335937
VMH,693,TMv,1,0.051307968600000003
PH,946,VENT,637,0.0512131174625
PMv,1004,ARH,223,0.051107377300000006
AVPV,272,PVR,141,0.0508212593811512
MPO,523,ADP,72,0.050696723
ZI,797,CTX,688,0.0500721844753799
ZI,797,CTXpl,695,0.0500721844753799
ZI,797,CH,567,0.0500721844753799
MM,491,mfbs,991,0.049591790609375
MM,491,mfsbshy,824,0.049591790609375
ZI,797,Isocortex,315,0.0489950870850479
ZI,797,VIS,669,0.0489950870850479
AHN,88,SBPV,347,0.048145047999999996
PVp,126,PMv,1004,0.04791324247499999
SBPV,347,PVR,141,0.0472874239801147
VMH,693,PeF,576073704,0.046881436
PVH,38,TH,549,0.046483099075
MPN,515,PVZ,157,0.046376227165625
PH,946,VM,685,0.0456941709
PSTN,364,fiber tracts,1009,0.045445040199999995
MPN,515,PVH,38,0.045043887000000005
DMH,830,PVZ,157,0.044786930999999995
ADP,72,root,997,0.0443038883109375
TU,614,TM,557,0.0439275990316406
TU,614,MBO,331,0.0439275990316406
MM,491,PMv,1004,0.0436403261
TU,614,TMv,1,0.0436289679
PSTN,364,STN,470,0.043605526299999996
MPN,515,AHN,88,0.043591820999999996
LHA,194,Isocortex,315,0.0431953038739126
LHA,194,CTXpl,695,0.0431953038739126
LHA,194,CTX,688,0.0431953038739126
PH,946,MBmot,323,0.0431242117414062
ARH,223,PVR,141,0.042920176775
PH,946,SPF,406,0.0428387584515625
ADP,72,grey,8,0.0426803872813965
LHA,194,SI,342,0.0426228656
LHA,194,PALv,835,0.0426228656
PH,946,SPFm,414,0.04245987659375
LHA,194,fiber tracts,1009,0.042401591399999994
PVHd,63,AHN,88,0.0422708006
LHA,194,TU,614,0.0416188948
ZI,797,LAT,138,0.041426740074999996
PH,946,MM,491,0.0410018867291885
MPN,515,PS,1109,0.0409571841
MPO,523,AVP,263,0.04042062185
MPN,515,CTXpl,695,0.0403534312469307
MPN,515,CTX,688,0.0403534312469307
MPN,515,Isocortex,315,0.0403534312469307
PH,946,PAG,795,0.039726714475
AHN,88,fiber tracts,1009,0.03952192755
ZI,797,epsc,760,0.03906496825
ZI,797,eps,1000,0.03906496825
ZI,797,nst,102,0.03906496825
PSTN,364,MB,313,0.03900836835
DMH,830,ARH,223,0.038942987650000004
PVH,38,PVZ,157,0.0386931360662109
PH,946,fiber tracts,1009,0.03859343420625
PH,946,mfsbshy,824,0.0385934328931888
PH,946,mfbs,991,0.0385934328931888
PVp,126,PVZ,157,0.038477291496875
MPN,515,ACA,31,0.0383928556991035
MM,491,PMd,980,0.03825769325
PMv,1004,VMH,693,0.03788242185
PMv,1004,DMH,830,0.0378745843
PH,946,MMd,606826659,0.037863981925
ZI,797,VM,685,0.03775448285
PVp,126,ARH,223,0.0377404608875
PMv,1004,LZ,290,0.0373814262431961
PMv,1004,TU,614,0.0373808848
ZI,797,SSp,322,0.0373317262928955
ZI,797,SS,453,0.0373317262928955
MM,491,LM,210,0.03732766345
LHA,194,STR,477,0.03698201745
MM,491,MMp,606826655,0.0367034353
VMH,693,TH,549,0.0366025492
MPN,515,SF,310,0.0365305339
ZI,797,SSp-tr,361,0.0364098411578125
ZI,797,LHA,194,0.03637710265
ARH,223,PVp,126,0.0362638662601999
TU,614,DMH,830,0.03560828775
ZI,797,PO,1020,0.0352944942
VMH,693,PVp,126,0.03514636475
AHN,88,mfbc,768,0.0349014785649414
